book_name,grouping,chapter,verse,mode
Sirakh,deutero,50,48,basic
Tambahan Daniel,deutero,3,1,basic
Tambahan Daniel,deutero,3,2,basic
Tambahan Daniel,deutero,3,3,basic
Tambahan Daniel,deutero,3,4,basic
Tambahan Daniel,deutero,3,5,basic
Tambahan Daniel,deutero,3,6,basic
Tambahan Daniel,deutero,3,7,basic
Tambahan Daniel,deutero,3,8,basic
Tambahan Daniel,deutero,3,9,basic
Tambahan Daniel,deutero,3,10,basic
Tambahan Daniel,deutero,3,11,basic
Tambahan Daniel,deutero,3,12,basic
Tambahan Daniel,deutero,3,13,basic
Tambahan Daniel,deutero,3,14,basic
Tambahan Daniel,deutero,3,15,basic
Tambahan Daniel,deutero,3,16,basic
Tambahan Daniel,deutero,3,17,basic
Tambahan Daniel,deutero,3,18,basic
Tambahan Daniel,deutero,3,19,basic
Tambahan Daniel,deutero,3,20,basic
Tambahan Daniel,deutero,3,21,basic
Tambahan Daniel,deutero,3,22,basic
Tambahan Daniel,deutero,3,23,basic
Tambahan Daniel,deutero,13,19,basic
Tambahan Daniel,deutero,13,20,basic
Tambahan Daniel,deutero,13,21,basic
Tambahan Daniel,deutero,13,22,basic
Tambahan Daniel,deutero,13,23,basic
Tambahan Daniel,deutero,13,24,basic
Matius,new,1,2,basic
Matius,new,1,3,basic
Matius,new,1,4,basic
Matius,new,1,5,basic
Matius,new,1,6,basic
Matius,new,1,7,basic
Matius,new,1,8,basic
Matius,new,1,9,basic
Matius,new,1,10,basic
Matius,new,1,11,basic
Matius,new,1,12,basic
Matius,new,1,13,basic
Matius,new,1,14,basic
Matius,new,1,15,basic
Matius,new,1,16,basic
Matius,new,1,17,basic
Kejadian,old,1,4,strict
Kejadian,old,2,2,strict
Kejadian,old,2,3,strict
Kejadian,old,2,4,strict
Kejadian,old,2,5,strict
Kejadian,old,2,6,strict
Kejadian,old,7,2,strict
Kejadian,old,7,3,strict
Kejadian,old,7,5,strict
Kejadian,old,7,6,strict
Kejadian,old,7,7,strict
Kejadian,old,7,8,strict
Kejadian,old,7,9,strict
Keluaran,old,1,2,strict
Keluaran,old,1,3,strict
Keluaran,old,1,4,strict
Keluaran,old,1,5,strict
Keluaran,old,1,6,strict
Keluaran,old,1,7,strict
Keluaran,old,1,9,strict
Keluaran,old,1,10,strict
Keluaran,old,1,11,strict
Keluaran,old,1,12,strict
Keluaran,old,1,13,strict
Keluaran,old,1,14,strict
Keluaran,old,1,15,strict
Keluaran,old,1,16,strict
Keluaran,old,1,17,strict
Keluaran,old,1,18,strict
Keluaran,old,1,19,strict
Keluaran,old,1,20,strict
Keluaran,old,1,21,strict
Keluaran,old,7,2,strict
Keluaran,old,7,3,strict
Keluaran,old,7,4,strict
Keluaran,old,7,5,strict
Keluaran,old,7,6,strict
Keluaran,old,7,7,strict
Keluaran,old,7,8,strict
Keluaran,old,7,9,strict
Tobit,deutero,9,3,strict
Tobit,deutero,14,8,strict
Tobit,deutero,14,11,strict
Tobit,deutero,14,12,strict
Kebijaksanaan Salomo,deutero,19,7,strict
Kebijaksanaan Salomo,deutero,19,8,strict
Kebijaksanaan Salomo,deutero,19,9,strict
Kebijaksanaan Salomo,deutero,19,10,strict
Kebijaksanaan Salomo,deutero,19,11,strict
Kebijaksanaan Salomo,deutero,19,12,strict
Kebijaksanaan Salomo,deutero,19,13,strict
Kebijaksanaan Salomo,deutero,19,14,strict
Kebijaksanaan Salomo,deutero,19,15,strict
Kebijaksanaan Salomo,deutero,19,16,strict
Kebijaksanaan Salomo,deutero,19,17,strict
Sirakh,deutero,1,5,strict
Sirakh,deutero,1,7,strict
Sirakh,deutero,1,21,strict
Sirakh,deutero,3,19,strict
Sirakh,deutero,3,25,strict
Sirakh,deutero,10,21,strict
Sirakh,deutero,11,15,strict
Sirakh,deutero,11,16,strict
Sirakh,deutero,13,14,strict
Sirakh,deutero,17,5,strict
Sirakh,deutero,17,9,strict
Sirakh,deutero,17,18,strict
Sirakh,deutero,17,21,strict
Sirakh,deutero,18,3,strict
Sirakh,deutero,19,18,strict
Sirakh,deutero,19,19,strict
Sirakh,deutero,19,21,strict
Sirakh,deutero,22,7,strict
Sirakh,deutero,22,8,strict
Sirakh,deutero,23,26,strict
Sirakh,deutero,24,18,strict
Sirakh,deutero,25,12,strict
Sirakh,deutero,26,19,strict
Sirakh,deutero,26,20,strict
Sirakh,deutero,26,21,strict
